Skills,Education,Interests,Desired_Income,Career_Path,Industry,Required_Experience,Location_Flexibility
Programming,Master's,Business,150000,Fashion Designer,Trades,4,On-Site
Public Speaking,High School,Business,100000,Elevator Mechanic,Healthcare,6,On-Site
Marketing,Associate's,Health,70000,Web Developer,Trades,1,On-Site
Design,Bachelor's,Business,90000,DevOps Engineer,Engineering,3,On-Site
Teaching,Associate's,Environment,125000,Video Game Designer,Creative Arts,1,Remote
Teaching,PhD,Environment,55000,Sustainable Designer,Social Services,9,On-Site
Healthcare,Master's,Environment,35000,Biomedical Engineer,Finance,9,On-Site
Public Speaking,Associate's,Health,55000,Plumber,Trades,9,On-Site
Marketing,Associate's,Engineering,130000,Auto Mechanic,Finance,6,Remote
Programming,Bachelor's,Writing,55000,Music Producer,Environment,4,Remote
Public Speaking,Bachelor's,Social Work,160000,Marine Biologist,Finance,7,On-Site
Programming,Associate's,Social Work,70000,Ethical Hacker,Technology,9,Remote
Teamwork,Master's,Environment,185000,Biomedical Engineer,Trades,3,Remote
Writing,Bachelor's,Health,105000,DevOps Engineer,Technology,0,Remote
Data Analysis,Associate's,Health,145000,Sustainable Designer,Creative Arts,5,On-Site
Programming,PhD,Finance,80000,Genetic Counselor,Trades,8,Remote
Problem Solving,Bachelor's,Writing,65000,Sustainable Designer,Social Services,1,On-Site
Problem Solving,Bachelor's,Finance,160000,Civil Engineer,Healthcare,2,On-Site
Teamwork,Bachelor's,Tech,185000,Wind Turbine Technician,Engineering,7,On-Site
Teamwork,Associate's,Health,100000,Marketing Manager,Social Services,5,On-Site
Management,Bachelor's,Tech,45000,Genetic Counselor,Creative Arts,0,Remote
Engineering,Bachelor's,Engineering,50000,Wind Turbine Technician,Healthcare,2,Remote
Data Analysis,Bachelor's,Tech,110000,Information Security Analyst,Environment,4,On-Site
Healthcare,Associate's,Finance,130000,Photographer,Engineering,5,On-Site
Public Speaking,Associate's,Engineering,125000,Elevator Mechanic,Business,6,On-Site
Marketing,Bachelor's,Business,60000,Animator,Social Services,3,On-Site
Engineering,PhD,Art,145000,Photographer,Trades,9,Remote
Writing,Master's,Health,125000,DevOps Engineer,Healthcare,3,On-Site
Management,PhD,Health,120000,Nurse Practitioner,Creative Arts,2,Remote
Writing,Bachelor's,Business,120000,Biomedical Engineer,Environment,7,On-Site
Public Speaking,PhD,Writing,195000,Physical Therapist,Engineering,4,On-Site
Marketing,PhD,Engineering,85000,Photographer,Education,5,On-Site
Finance,Bachelor's,Health,60000,Business Consultant,Education,0,On-Site
Data Analysis,PhD,Finance,155000,Business Consultant,Finance,9,Remote
Writing,Master's,Finance,195000,Photographer,Engineering,9,On-Site
Management,Associate's,Health,95000,Astronomer,Trades,2,Remote
Programming,Master's,Writing,50000,Professional Cuddler,Technology,4,On-Site
Healthcare,Bachelor's,Business,35000,Data Scientist,Finance,2,On-Site
Engineering,Master's,Business,175000,Entrepreneur,Creative Arts,0,Remote
Public Speaking,Associate's,Tech,190000,Software Developer,Trades,0,Remote
Programming,Master's,Art,130000,Sustainable Designer,Social Services,3,On-Site
Engineering,High School,Finance,40000,Ethical Hacker,Finance,0,Remote
Teaching,High School,Business,75000,Elevator Mechanic,Engineering,3,Remote
Public Speaking,Associate's,Art,55000,Marine Biologist,Business,6,On-Site
Programming,Master's,Education,30000,Wind Turbine Technician,Healthcare,7,Remote
Public Speaking,High School,Education,75000,Data Scientist,Creative Arts,4,Remote
Healthcare,High School,Art,55000,Food Taster,Trades,4,Remote
Public Speaking,Associate's,Environment,115000,Photographer,Finance,10,On-Site
Healthcare,Master's,Finance,130000,Elevator Mechanic,Social Services,7,On-Site
Writing,Master's,Writing,75000,Information Security Analyst,Social Services,4,Remote
Problem Solving,PhD,Business,150000,Food Taster,Education,6,Remote
Critical Thinking,Associate's,Engineering,175000,Fashion Designer,Technology,5,Remote
Engineering,Master's,Environment,50000,Data Scientist,Technology,9,On-Site
Problem Solving,High School,Writing,130000,Genetic Counselor,Healthcare,7,On-Site
Engineering,PhD,Art,40000,Animator,Engineering,7,Remote
Finance,Master's,Education,65000,Wind Turbine Technician,Technology,9,On-Site
Healthcare,High School,Education,185000,Biomedical Engineer,Finance,9,On-Site
Finance,Associate's,Social Work,125000,DevOps Engineer,Trades,10,On-Site
Problem Solving,High School,Social Work,165000,Filmmaker,Environment,4,Remote
Writing,Bachelor's,Health,150000,Animator,Finance,2,On-Site
Finance,Master's,Writing,140000,Filmmaker,Environment,7,On-Site
Public Speaking,Bachelor's,Business,195000,Animator,Creative Arts,10,Remote
Management,High School,Engineering,35000,Environmental Scientist,Technology,10,Remote
Teaching,PhD,Tech,110000,Fashion Designer,Healthcare,8,On-Site
Engineering,Master's,Engineering,145000,Auto Mechanic,Finance,1,Remote
Management,PhD,Social Work,120000,Genetic Counselor,Engineering,10,On-Site
Programming,Master's,Education,155000,DevOps Engineer,Social Services,10,On-Site
Design,PhD,Education,130000,Entrepreneur,Education,10,Remote
Healthcare,Associate's,Social Work,145000,Animator,Trades,0,Remote
Finance,Bachelor's,Writing,135000,Animator,Business,2,Remote
Marketing,High School,Finance,70000,Food Taster,Trades,8,Remote
Healthcare,High School,Finance,80000,Software Developer,Trades,9,On-Site
Critical Thinking,Bachelor's,Finance,50000,Business Consultant,Education,0,Remote
Marketing,PhD,Education,190000,DevOps Engineer,Environment,8,Remote
Marketing,Master's,Environment,160000,Entrepreneur,Business,5,On-Site
Management,Associate's,Finance,45000,Animator,Healthcare,5,Remote
Programming,Associate's,Art,80000,Plumber,Trades,3,On-Site
Management,Bachelor's,Environment,175000,Sustainable Designer,Education,5,On-Site
Writing,PhD,Finance,115000,Professional Cuddler,Social Services,9,Remote
Data Analysis,Master's,Environment,140000,Marketing Manager,Trades,8,Remote
Engineering,Master's,Art,185000,Information Security Analyst,Engineering,6,On-Site
Marketing,Associate's,Business,140000,Nurse Practitioner,Technology,4,On-Site
Problem Solving,PhD,Education,90000,Information Security Analyst,Trades,4,On-Site
Healthcare,PhD,Business,75000,Entrepreneur,Social Services,8,Remote
Public Speaking,PhD,Engineering,155000,Music Producer,Engineering,0,Remote
Healthcare,PhD,Education,105000,Photographer,Technology,2,On-Site
Management,High School,Art,115000,DevOps Engineer,Trades,7,On-Site
Writing,Master's,Environment,85000,Marine Biologist,Education,4,Remote
Marketing,Associate's,Finance,70000,Plumber,Environment,3,On-Site
Teamwork,Master's,Writing,65000,Astronomer,Education,1,Remote
Finance,Bachelor's,Tech,95000,Entrepreneur,Healthcare,4,On-Site
Design,High School,Engineering,35000,Photographer,Engineering,2,Remote
Finance,Master's,Environment,195000,Animator,Trades,2,On-Site
Critical Thinking,Bachelor's,Social Work,115000,Video Game Designer,Social Services,8,Remote
Healthcare,Bachelor's,Writing,170000,Photographer,Creative Arts,3,Remote
Marketing,Associate's,Social Work,85000,Wind Turbine Technician,Education,5,On-Site
Critical Thinking,Associate's,Engineering,170000,Marine Biologist,Healthcare,8,On-Site
Teaching,Master's,Education,100000,Wind Turbine Technician,Trades,4,On-Site
Problem Solving,Master's,Writing,95000,Business Consultant,Social Services,1,Remote
Engineering,Master's,Business,125000,Photographer,Environment,9,Remote
Data Analysis,Associate's,Social Work,95000,Web Developer,Healthcare,10,Remote
Data Analysis,High School,Finance,70000,Entrepreneur,Trades,10,On-Site
Design,Associate's,Writing,130000,Food Taster,Social Services,2,Remote
Writing,Bachelor's,Writing,140000,Wind Turbine Technician,Social Services,7,On-Site
Writing,Master's,Tech,35000,Filmmaker,Social Services,4,Remote
Teaching,High School,Finance,150000,Fashion Designer,Business,9,On-Site
Design,Associate's,Health,175000,DevOps Engineer,Social Services,5,On-Site
Management,Associate's,Business,110000,Data Scientist,Trades,7,Remote
Engineering,Associate's,Education,40000,Animator,Environment,5,On-Site
Engineering,Bachelor's,Business,35000,Marine Biologist,Business,10,On-Site
Healthcare,High School,Art,90000,Business Consultant,Education,4,Remote
Teamwork,Bachelor's,Writing,105000,Fashion Designer,Education,7,Remote
Problem Solving,Bachelor's,Health,170000,Entrepreneur,Trades,1,On-Site
Teaching,PhD,Education,90000,Civil Engineer,Engineering,10,Remote
Programming,Master's,Finance,150000,Software Developer,Business,6,On-Site
Engineering,Bachelor's,Art,80000,DevOps Engineer,Social Services,2,Remote
Marketing,Associate's,Art,135000,Civil Engineer,Trades,8,On-Site
Finance,Master's,Art,115000,Information Security Analyst,Healthcare,10,Remote
Critical Thinking,PhD,Education,125000,Filmmaker,Technology,1,On-Site
Teaching,PhD,Environment,115000,Physical Therapist,Trades,5,Remote
Data Analysis,PhD,Health,165000,Professional Cuddler,Environment,2,On-Site
Management,Master's,Writing,50000,Business Consultant,Creative Arts,8,Remote
Data Analysis,Bachelor's,Tech,155000,Wind Turbine Technician,Social Services,4,Remote
Management,High School,Environment,170000,Biomedical Engineer,Finance,7,On-Site
Teaching,Master's,Education,35000,Photographer,Creative Arts,1,Remote
Teamwork,Associate's,Health,45000,Music Producer,Social Services,9,On-Site
Teaching,Bachelor's,Finance,40000,Food Taster,Trades,4,Remote
Critical Thinking,Master's,Finance,155000,Professional Cuddler,Technology,5,On-Site
Teamwork,Associate's,Business,180000,Professional Cuddler,Business,10,Remote
Writing,Master's,Finance,195000,Data Scientist,Finance,4,Remote
Management,PhD,Business,90000,Video Game Designer,Healthcare,9,Remote
Writing,PhD,Environment,55000,Nurse Practitioner,Social Services,2,On-Site
Public Speaking,Master's,Finance,140000,Music Producer,Creative Arts,10,On-Site
Marketing,High School,Engineering,175000,Web Developer,Business,2,Remote
Finance,PhD,Tech,115000,Photographer,Business,5,Remote
Design,Associate's,Social Work,145000,Auto Mechanic,Healthcare,10,On-Site
Problem Solving,PhD,Engineering,65000,Music Producer,Business,4,On-Site
Engineering,PhD,Health,175000,Nurse Practitioner,Education,10,On-Site
Programming,PhD,Social Work,125000,Marine Biologist,Education,2,Remote
Critical Thinking,PhD,Social Work,100000,Auto Mechanic,Finance,8,On-Site
Teaching,High School,Environment,70000,Civil Engineer,Engineering,5,On-Site
Engineering,Associate's,Business,185000,Astronomer,Business,5,Remote
Healthcare,PhD,Education,185000,Plumber,Creative Arts,3,On-Site
Programming,Master's,Health,195000,Physical Therapist,Education,4,On-Site
Teaching,High School,Art,145000,DevOps Engineer,Education,8,On-Site
Management,Master's,Finance,150000,Environmental Scientist,Education,6,On-Site
Programming,Associate's,Art,170000,Data Scientist,Creative Arts,5,Remote
Design,Bachelor's,Engineering,185000,Fashion Designer,Creative Arts,5,Remote
Writing,PhD,Engineering,60000,Entrepreneur,Engineering,6,On-Site
Programming,High School,Business,180000,Biomedical Engineer,Healthcare,9,Remote
Public Speaking,Master's,Education,45000,Software Developer,Trades,8,On-Site
Teamwork,Master's,Education,80000,Marine Biologist,Finance,3,On-Site
Public Speaking,Associate's,Business,45000,Elevator Mechanic,Trades,4,Remote
Teaching,High School,Environment,80000,Sustainable Designer,Social Services,1,Remote
Finance,High School,Education,155000,Data Scientist,Technology,2,Remote
Teaching,Associate's,Health,65000,Auto Mechanic,Healthcare,2,On-Site
Writing,PhD,Health,175000,Marketing Manager,Social Services,1,Remote
Critical Thinking,High School,Education,130000,Professional Cuddler,Finance,7,Remote
Public Speaking,Associate's,Finance,140000,Ethical Hacker,Healthcare,2,On-Site
Engineering,Master's,Finance,100000,Food Taster,Education,1,Remote
Public Speaking,High School,Writing,105000,Video Game Designer,Education,2,Remote
Critical Thinking,PhD,Health,145000,Physical Therapist,Education,0,Remote
Design,High School,Finance,80000,Business Consultant,Technology,1,On-Site
Teamwork,PhD,Environment,110000,Environmental Scientist,Creative Arts,6,On-Site
Management,Associate's,Social Work,190000,Filmmaker,Finance,6,Remote
Teaching,High School,Finance,140000,Photographer,Technology,1,Remote
Programming,Associate's,Art,65000,Sustainable Designer,Environment,7,On-Site
Healthcare,Associate's,Social Work,70000,Marine Biologist,Healthcare,8,Remote
Writing,Master's,Business,55000,Animator,Education,4,On-Site
Marketing,PhD,Engineering,120000,Elevator Mechanic,Creative Arts,3,Remote
Programming,Bachelor's,Writing,75000,Marine Biologist,Business,6,On-Site
Teamwork,High School,Business,100000,Entrepreneur,Environment,5,On-Site
Design,Bachelor's,Tech,155000,Entrepreneur,Trades,5,Remote
Design,Bachelor's,Health,30000,Food Taster,Creative Arts,8,Remote
Marketing,Bachelor's,Social Work,175000,Physical Therapist,Education,4,On-Site
Programming,Bachelor's,Education,30000,Photographer,Healthcare,4,Remote
Management,Associate's,Social Work,175000,Information Security Analyst,Creative Arts,8,On-Site
Critical Thinking,Master's,Art,145000,Professional Cuddler,Trades,6,Remote
Management,Associate's,Finance,60000,Food Taster,Creative Arts,6,Remote
Data Analysis,Associate's,Education,145000,Entrepreneur,Education,3,On-Site
Engineering,Master's,Social Work,105000,Music Producer,Finance,3,Remote
Problem Solving,High School,Education,185000,Professional Cuddler,Creative Arts,2,On-Site
Marketing,High School,Writing,60000,Music Producer,Education,7,On-Site
Writing,PhD,Writing,40000,Entrepreneur,Technology,3,On-Site
Critical Thinking,PhD,Environment,65000,Fashion Designer,Business,10,Remote
Teamwork,PhD,Social Work,160000,Biomedical Engineer,Environment,3,On-Site
Data Analysis,Associate's,Business,125000,DevOps Engineer,Creative Arts,6,Remote
Programming,Associate's,Social Work,75000,Plumber,Healthcare,10,On-Site
Healthcare,Bachelor's,Engineering,190000,Genetic Counselor,Creative Arts,2,Remote
Writing,PhD,Health,90000,Nurse Practitioner,Healthcare,1,Remote
Critical Thinking,Associate's,Tech,85000,DevOps Engineer,Engineering,0,Remote
Teamwork,High School,Education,160000,Civil Engineer,Environment,9,On-Site
Data Analysis,Associate's,Environment,50000,Information Security Analyst,Finance,2,On-Site
Healthcare,High School,Business,115000,Marketing Manager,Engineering,10,On-Site
Design,Master's,Health,100000,Business Consultant,Business,0,On-Site
Marketing,High School,Writing,125000,Biomedical Engineer,Engineering,1,On-Site
Healthcare,Bachelor's,Art,95000,Plumber,Education,1,On-Site
Finance,Bachelor's,Health,165000,Marketing Manager,Environment,5,On-Site
Teamwork,Bachelor's,Writing,190000,Animator,Healthcare,10,On-Site
Management,High School,Health,120000,Civil Engineer,Healthcare,6,Remote
Healthcare,Associate's,Art,115000,Animator,Environment,0,Remote
Marketing,Bachelor's,Art,160000,Elevator Mechanic,Trades,0,On-Site
Marketing,High School,Engineering,130000,Environmental Scientist,Engineering,4,Remote
Design,High School,Environment,145000,Animator,Trades,7,On-Site
Problem Solving,Bachelor's,Social Work,165000,Astronomer,Creative Arts,2,Remote
Teamwork,Bachelor's,Education,140000,Elevator Mechanic,Trades,5,Remote
Data Analysis,Bachelor's,Writing,160000,Ethical Hacker,Healthcare,10,On-Site
Marketing,High School,Art,150000,Wind Turbine Technician,Engineering,10,Remote
Data Analysis,Associate's,Finance,35000,Software Developer,Technology,2,Remote
Critical Thinking,Associate's,Engineering,110000,Sustainable Designer,Social Services,8,On-Site
Finance,High School,Art,180000,Data Scientist,Engineering,4,On-Site
Problem Solving,High School,Health,60000,Biomedical Engineer,Creative Arts,1,Remote
Healthcare,High School,Health,30000,Plumber,Finance,1,On-Site
Critical Thinking,Master's,Tech,30000,Software Developer,Engineering,0,On-Site
Management,Associate's,Social Work,190000,Software Developer,Business,0,Remote
Finance,Associate's,Health,130000,Genetic Counselor,Environment,4,Remote
Teamwork,Associate's,Business,85000,Marine Biologist,Healthcare,6,On-Site
Engineering,Associate's,Health,120000,Filmmaker,Finance,6,On-Site
Public Speaking,Bachelor's,Business,180000,Data Scientist,Business,1,On-Site
Public Speaking,PhD,Writing,105000,Animator,Finance,1,Remote
Healthcare,High School,Social Work,95000,Nurse Practitioner,Trades,1,On-Site
Writing,High School,Environment,115000,Web Developer,Healthcare,10,Remote
Critical Thinking,Bachelor's,Tech,130000,Information Security Analyst,Creative Arts,1,Remote
Teamwork,High School,Environment,170000,Animator,Creative Arts,2,On-Site
Healthcare,Master's,Education,60000,Plumber,Social Services,10,Remote
Finance,Associate's,Engineering,55000,Auto Mechanic,Environment,3,Remote
Marketing,PhD,Tech,140000,Professional Cuddler,Healthcare,4,Remote
Critical Thinking,Bachelor's,Engineering,80000,Nurse Practitioner,Trades,9,On-Site
Teaching,Bachelor's,Engineering,125000,DevOps Engineer,Creative Arts,2,Remote
Management,High School,Business,160000,Genetic Counselor,Business,6,Remote
Management,Bachelor's,Art,130000,Ethical Hacker,Social Services,4,On-Site
Teaching,PhD,Social Work,190000,Photographer,Engineering,1,Remote
Programming,PhD,Environment,185000,Nurse Practitioner,Creative Arts,4,On-Site
Public Speaking,Associate's,Health,75000,Information Security Analyst,Engineering,10,Remote
Programming,PhD,Social Work,125000,Genetic Counselor,Technology,9,Remote
Problem Solving,Associate's,Business,130000,Animator,Technology,6,Remote
Engineering,Master's,Social Work,135000,Professional Cuddler,Business,2,On-Site
Finance,Master's,Art,185000,Professional Cuddler,Education,4,On-Site
Design,High School,Writing,140000,Environmental Scientist,Creative Arts,8,Remote
Writing,Master's,Engineering,60000,Data Scientist,Social Services,8,On-Site
Teamwork,Associate's,Social Work,130000,Nurse Practitioner,Social Services,5,On-Site
Teamwork,High School,Education,35000,Wind Turbine Technician,Business,4,Remote
Public Speaking,Bachelor's,Social Work,70000,Entrepreneur,Creative Arts,1,Remote
Critical Thinking,Master's,Education,125000,Fashion Designer,Business,0,On-Site
Finance,Bachelor's,Engineering,45000,Auto Mechanic,Healthcare,3,Remote
Management,Bachelor's,Tech,100000,Plumber,Healthcare,8,On-Site
Data Analysis,High School,Education,95000,Entrepreneur,Business,3,On-Site
Data Analysis,High School,Social Work,190000,Ethical Hacker,Trades,6,Remote
Finance,Associate's,Engineering,100000,Information Security Analyst,Education,5,On-Site
Teaching,High School,Education,45000,Food Taster,Environment,9,On-Site
Engineering,Bachelor's,Art,80000,Food Taster,Engineering,3,Remote
Programming,Associate's,Social Work,135000,Video Game Designer,Education,3,On-Site
Healthcare,Master's,Art,30000,Animator,Technology,10,On-Site
Programming,Master's,Education,160000,Marine Biologist,Environment,10,Remote
Management,Master's,Tech,110000,Filmmaker,Trades,3,On-Site
Teaching,Associate's,Health,160000,Plumber,Social Services,1,Remote
Teamwork,High School,Engineering,130000,Entrepreneur,Trades,6,On-Site
Design,Master's,Business,40000,Auto Mechanic,Trades,1,Remote
Marketing,High School,Environment,190000,Auto Mechanic,Creative Arts,8,On-Site
Teamwork,PhD,Health,45000,Food Taster,Business,4,On-Site
Teamwork,PhD,Art,155000,Ethical Hacker,Engineering,9,Remote
Teaching,Master's,Business,40000,Astronomer,Education,8,Remote
Management,High School,Business,140000,Astronomer,Finance,10,Remote
Teamwork,High School,Tech,185000,Fashion Designer,Social Services,3,On-Site
Public Speaking,Bachelor's,Education,135000,Plumber,Technology,1,On-Site
Engineering,PhD,Education,150000,Information Security Analyst,Creative Arts,5,On-Site
Teamwork,High School,Environment,70000,Software Developer,Healthcare,5,Remote
Design,Bachelor's,Art,45000,Wind Turbine Technician,Healthcare,8,On-Site
Critical Thinking,Bachelor's,Health,85000,Wind Turbine Technician,Education,9,On-Site
Problem Solving,Master's,Tech,75000,Elevator Mechanic,Healthcare,3,Remote
Teamwork,Associate's,Tech,65000,Web Developer,Social Services,8,Remote
Healthcare,PhD,Education,35000,Video Game Designer,Technology,10,Remote
Design,Master's,Writing,185000,Animator,Technology,6,On-Site
Healthcare,Associate's,Health,45000,Biomedical Engineer,Creative Arts,6,On-Site
Writing,Associate's,Writing,65000,Food Taster,Healthcare,1,On-Site
Problem Solving,Bachelor's,Engineering,100000,Information Security Analyst,Creative Arts,2,Remote
Management,Associate's,Art,85000,Wind Turbine Technician,Healthcare,1,On-Site
Management,Master's,Engineering,165000,Video Game Designer,Social Services,2,On-Site
Engineering,High School,Business,85000,Auto Mechanic,Finance,2,Remote
Finance,Bachelor's,Education,95000,Information Security Analyst,Technology,9,Remote
Management,Bachelor's,Writing,105000,Food Taster,Social Services,4,Remote
Data Analysis,Bachelor's,Art,170000,Professional Cuddler,Education,9,Remote
Teamwork,Associate's,Business,85000,Ethical Hacker,Engineering,6,On-Site
Writing,PhD,Art,175000,Photographer,Engineering,7,Remote
Writing,Bachelor's,Tech,85000,Sustainable Designer,Technology,3,Remote
Public Speaking,Master's,Environment,185000,Environmental Scientist,Trades,4,On-Site
Teamwork,Master's,Health,85000,Ethical Hacker,Engineering,5,Remote
Teaching,Bachelor's,Finance,190000,Professional Cuddler,Trades,0,Remote
Teaching,Bachelor's,Health,185000,Software Developer,Finance,2,Remote
Finance,PhD,Education,55000,Photographer,Business,5,Remote
Public Speaking,Associate's,Writing,85000,Elevator Mechanic,Trades,1,On-Site
Writing,Master's,Finance,130000,Genetic Counselor,Technology,7,On-Site
Management,PhD,Health,30000,Astronomer,Education,6,Remote
Public Speaking,PhD,Art,130000,Animator,Healthcare,5,On-Site
Public Speaking,Associate's,Engineering,180000,Plumber,Environment,2,On-Site
Writing,Master's,Social Work,180000,Elevator Mechanic,Environment,9,On-Site
Critical Thinking,Bachelor's,Art,70000,Environmental Scientist,Social Services,6,On-Site
Problem Solving,Bachelor's,Art,145000,Music Producer,Education,3,Remote
Healthcare,Bachelor's,Business,150000,Information Security Analyst,Healthcare,0,On-Site
Healthcare,Bachelor's,Finance,80000,Music Producer,Social Services,3,Remote
Healthcare,PhD,Health,145000,Auto Mechanic,Technology,0,Remote
Healthcare,Master's,Art,50000,Marine Biologist,Social Services,5,On-Site
Finance,Master's,Art,185000,Information Security Analyst,Trades,9,On-Site
Problem Solving,High School,Writing,30000,Data Scientist,Finance,3,On-Site
Design,Associate's,Environment,75000,Fashion Designer,Finance,10,Remote
Management,Bachelor's,Tech,150000,Astronomer,Social Services,0,Remote
Healthcare,PhD,Tech,155000,Filmmaker,Trades,1,Remote
Problem Solving,Master's,Tech,100000,Food Taster,Education,0,Remote
Design,Bachelor's,Social Work,40000,Software Developer,Finance,2,On-Site
Teamwork,Associate's,Health,35000,Fashion Designer,Creative Arts,5,On-Site
Teaching,PhD,Education,35000,Information Security Analyst,Creative Arts,9,Remote
Marketing,PhD,Writing,75000,Photographer,Environment,2,Remote
Teamwork,Bachelor's,Environment,35000,Environmental Scientist,Engineering,9,Remote
Finance,Bachelor's,Social Work,60000,Plumber,Environment,10,On-Site
Design,Associate's,Health,50000,Music Producer,Social Services,1,On-Site
Data Analysis,PhD,Education,105000,Genetic Counselor,Finance,10,On-Site
Public Speaking,PhD,Art,195000,Nurse Practitioner,Business,0,Remote
Programming,PhD,Social Work,195000,Web Developer,Creative Arts,6,On-Site
Teamwork,PhD,Education,150000,Elevator Mechanic,Social Services,4,On-Site
Programming,Associate's,Engineering,160000,Food Taster,Trades,6,On-Site
Critical Thinking,Master's,Environment,100000,Marketing Manager,Creative Arts,9,Remote
Teaching,PhD,Art,190000,Elevator Mechanic,Technology,8,On-Site
Management,Bachelor's,Engineering,100000,Web Developer,Finance,10,On-Site
Marketing,High School,Environment,150000,Astronomer,Technology,4,On-Site
Management,Master's,Education,170000,Business Consultant,Technology,4,On-Site
Teaching,High School,Social Work,95000,Physical Therapist,Finance,4,Remote
Engineering,Bachelor's,Writing,150000,Elevator Mechanic,Technology,4,On-Site
Teaching,PhD,Writing,90000,Genetic Counselor,Technology,10,Remote
Teamwork,Master's,Tech,95000,Filmmaker,Finance,9,On-Site
Marketing,High School,Art,175000,Wind Turbine Technician,Creative Arts,5,Remote
Finance,PhD,Writing,115000,Elevator Mechanic,Finance,6,Remote
Writing,Master's,Writing,120000,DevOps Engineer,Education,0,On-Site
Marketing,PhD,Writing,120000,Physical Therapist,Technology,1,On-Site
Public Speaking,Bachelor's,Business,190000,Marketing Manager,Finance,5,On-Site
Healthcare,Bachelor's,Finance,50000,Marketing Manager,Technology,0,Remote
Teamwork,Master's,Health,75000,Environmental Scientist,Engineering,6,On-Site
Teamwork,High School,Education,150000,Video Game Designer,Technology,3,On-Site
Engineering,Master's,Business,115000,Entrepreneur,Engineering,3,Remote
Finance,PhD,Finance,155000,Astronomer,Finance,8,Remote
Teamwork,Bachelor's,Health,60000,Plumber,Social Services,5,Remote
Writing,High School,Writing,160000,Video Game Designer,Trades,4,Remote
Engineering,Associate's,Health,170000,Web Developer,Social Services,8,On-Site
Marketing,High School,Health,80000,Genetic Counselor,Education,4,Remote
Healthcare,Associate's,Engineering,150000,Wind Turbine Technician,Finance,10,Remote
Data Analysis,Associate's,Art,85000,Elevator Mechanic,Creative Arts,1,On-Site
Engineering,Bachelor's,Tech,40000,Software Developer,Social Services,10,On-Site
Management,Associate's,Education,115000,Animator,Technology,7,On-Site
Finance,Associate's,Education,80000,Entrepreneur,Creative Arts,6,Remote
Problem Solving,Associate's,Art,70000,Elevator Mechanic,Engineering,8,On-Site
Management,Master's,Education,125000,Software Developer,Environment,6,Remote
Teamwork,Master's,Business,130000,Nurse Practitioner,Social Services,8,On-Site
Public Speaking,Master's,Tech,80000,Professional Cuddler,Environment,7,On-Site
Finance,Master's,Social Work,45000,Video Game Designer,Social Services,0,On-Site
Teaching,Bachelor's,Engineering,150000,Information Security Analyst,Education,8,On-Site
Healthcare,PhD,Tech,175000,Software Developer,Creative Arts,2,Remote
Finance,Master's,Writing,185000,Software Developer,Trades,5,On-Site
Teamwork,PhD,Social Work,135000,Data Scientist,Trades,4,Remote
Problem Solving,High School,Environment,160000,Civil Engineer,Healthcare,6,Remote
Data Analysis,High School,Social Work,55000,Marketing Manager,Business,7,On-Site
Data Analysis,Bachelor's,Health,35000,Biomedical Engineer,Business,8,On-Site
Finance,PhD,Tech,195000,Genetic Counselor,Engineering,10,On-Site
Healthcare,Master's,Finance,75000,Music Producer,Technology,10,On-Site
Writing,PhD,Writing,90000,Web Developer,Education,3,On-Site
Critical Thinking,PhD,Writing,125000,Video Game Designer,Trades,0,On-Site
Public Speaking,Associate's,Health,155000,Wind Turbine Technician,Finance,4,Remote
Management,High School,Art,35000,Animator,Business,8,On-Site
Critical Thinking,High School,Education,60000,Video Game Designer,Trades,1,On-Site
Public Speaking,Bachelor's,Health,115000,Fashion Designer,Social Services,2,Remote
Writing,High School,Engineering,135000,Environmental Scientist,Social Services,7,On-Site
Public Speaking,Bachelor's,Environment,90000,Business Consultant,Finance,4,Remote
Public Speaking,Bachelor's,Writing,55000,Astronomer,Trades,10,Remote
Finance,Bachelor's,Education,35000,Animator,Healthcare,7,On-Site
Teamwork,Associate's,Environment,85000,Astronomer,Business,9,On-Site
Public Speaking,Bachelor's,Tech,80000,Physical Therapist,Technology,2,On-Site
Teaching,Associate's,Engineering,190000,Entrepreneur,Engineering,2,Remote
Healthcare,Associate's,Tech,185000,Astronomer,Finance,0,Remote
Critical Thinking,High School,Finance,45000,Astronomer,Technology,7,Remote
Finance,Bachelor's,Engineering,140000,Auto Mechanic,Healthcare,3,Remote
Data Analysis,Master's,Education,145000,Sustainable Designer,Business,1,Remote
Public Speaking,High School,Art,65000,Business Consultant,Environment,5,Remote
Critical Thinking,Bachelor's,Finance,115000,Marketing Manager,Healthcare,0,Remote
Management,Associate's,Education,95000,Photographer,Finance,2,Remote
Engineering,Bachelor's,Health,120000,Web Developer,Finance,9,Remote
Marketing,PhD,Engineering,110000,Filmmaker,Technology,2,On-Site
Programming,PhD,Engineering,120000,Ethical Hacker,Education,3,Remote
Public Speaking,Master's,Art,110000,Auto Mechanic,Technology,4,On-Site
Healthcare,PhD,Art,180000,Video Game Designer,Engineering,6,Remote
Teaching,Associate's,Tech,55000,Auto Mechanic,Social Services,8,On-Site
Marketing,High School,Writing,105000,Entrepreneur,Environment,5,On-Site
Problem Solving,Associate's,Tech,110000,Genetic Counselor,Technology,7,Remote
Teamwork,PhD,Social Work,65000,Nurse Practitioner,Technology,4,On-Site
Engineering,Master's,Health,165000,Elevator Mechanic,Social Services,6,On-Site
